timestamp;importance_type;scenario;age;anosmia;cough;diarrhea;fever;minor_severity_factor;risk_factor;sore_throat_aches
2020-04-27 18:05:34,920;SOBOL_TOTAL;B;0.26591;0.09770;0.29347;0.26770;0.37757;0.26340;0.48923;0.09770
2020-04-27 18:05:45,483;SOBOL_TOTAL;B;0.26382;0.09844;0.29354;0.26597;0.38553;0.26597;0.48970;0.09773
2020-04-27 18:05:57,300;SOBOL_TOTAL;B;0.26536;0.09584;0.29183;0.26536;0.37694;0.26357;0.48852;0.09763
2020-04-27 18:06:07,839;SOBOL_TOTAL;B;0.26542;0.09766;0.29333;0.26328;0.37739;0.25863;0.48864;0.09730
2020-04-27 18:06:19,521;SOBOL_TOTAL;B;0.26585;0.09732;0.28660;0.26549;0.37712;0.26585;0.48911;0.09840
2020-04-27 18:06:30,684;SOBOL_TOTAL;B;0.26364;0.09766;0.29368;0.26578;0.38025;0.26578;0.47254;0.09551
2020-04-27 18:06:41,075;SOBOL_TOTAL;B;0.26572;0.09763;0.30577;0.26572;0.37730;0.26536;0.48852;0.09835
2020-04-27 18:06:51,616;SOBOL_TOTAL;B;0.26555;0.09770;0.29347;0.25338;0.37757;0.26519;0.48959;0.09806
2020-04-27 18:07:02,147;SOBOL_TOTAL;B;0.26692;0.09840;0.29447;0.26692;0.37712;0.26549;0.50164;0.09696
2020-04-27 18:07:13,548;SOBOL_TOTAL;B;0.26542;0.09730;0.29225;0.26578;0.37703;0.26578;0.48900;0.09515
2020-04-27 18:07:24,118;SOBOL_TOTAL;B;0.26572;0.09835;0.29397;0.26715;0.37802;0.26536;0.49067;0.09513
2020-04-27 18:07:34,642;SOBOL_TOTAL;B;0.26465;0.09799;0.30613;0.26536;0.37337;0.26965;0.48924;0.09763
2020-04-27 18:07:45,183;SOBOL_TOTAL;B;0.26669;0.09808;0.29461;0.26669;0.37730;0.26561;0.48684;0.09808
2020-04-27 18:07:55,868;SOBOL_TOTAL;B;0.26536;0.09835;0.29326;0.26679;0.35012;0.26751;0.48817;0.09763
2020-04-27 18:08:06,410;SOBOL_TOTAL;B;0.26519;0.10021;0.29347;0.26555;0.37685;0.26555;0.49209;0.09734
2020-04-27 18:08:16,884;SOBOL_TOTAL;B;0.26585;0.09732;0.30592;0.26549;0.37712;0.26477;0.49090;0.09804
2020-04-27 18:08:27,412;SOBOL_TOTAL;B;0.26637;0.09797;0.29390;0.26494;0.37650;0.26280;0.48912;0.09797
2020-04-27 18:08:38,025;SOBOL_TOTAL;B;0.26536;0.09763;0.29683;0.26751;0.37730;0.26572;0.48888;0.09513
2020-04-27 18:08:48,703;SOBOL_TOTAL;B;0.26374;0.09792;0.29233;0.26517;0.37739;0.26553;0.48889;0.09613
